word,level,pos
abandon,b2,verb
ability,a2,noun
able,a2,adjective
about,a1,adverb
above,a1,adverb
abroad,a2,adverb
absolute,b2,adjective
absolutely,b1,adverb
academic,b1,adjective
academic,b2,noun
accept,a2,verb
acceptable,b2,adjective
access,b1,verb
accident,a2,noun
accommodation,b1,noun
accompany,b2,verb
account,b1,noun
account,b2,verb
accurate,b2,adjective
accuse,b2,verb
achieve,a2,verb
achievement,b1,noun
acknowledge,b2,verb
acquire,b2,verb
across,a1,adverb
act,b1,noun
act,a2,verb
action,a1,noun
active,a2,adjective
activity,a1,noun
actor,a1,noun
actress,a1,noun
actual,b2,adjective
actually,a2,adverb
ad,b1,noun
adapt,b2,verb
add,a1,verb
addition,b1,noun
additional,b2,adjective
address,a1,noun
address,b2,verb
administration,b2,noun
admire,b1,verb
admit,b1,verb
adopt,b2,verb
adult,a2,adjective
adult,a1,noun
advance,b2,adjective
advance,b2,noun
advance,b2,verb
advanced,b1,adjective
advantage,a2,noun
adventure,a2,noun
advertise,a2,verb
advertisement,a2,noun
advertising,a2,noun
advice,a1,noun
advise,b1,verb
affair,b2,noun
affect,a2,verb
afford,b1,verb
afraid,a1,adjective
after,a2,adverb
afternoon,a1,noun
afterwards,b2,adverb
again,a1,adverb
age,a1,noun
age,b1,verb
aged,b1,adjective
agency,b2,noun
agenda,b2,noun
agent,b1,noun
aggressive,b2,adjective
ago,a1,adverb
agree,a1,verb
agreement,b1,noun
ahead,b1,adverb
aid,b2,noun
aid,b2,verb
aim,b1,noun
aim,b1,verb
air,a1,noun
aircraft,b2,noun
airline,a2,noun
airport,a1,noun
alarm,b1,noun
alarm,b2,verb
album,b1,noun
alcohol,b1,noun
alcoholic,b1,adjective
alive,a2,adjective
all,a2,adverb
all right,a2,adjective
all right,a2,adverb
allow,a2,verb
almost,a2,adverb
alone,a2,adjective
alone,a2,adverb
along,a2,adverb
already,a2,adverb
also,a1,adverb
alter,b2,verb
alternative,b1,adjective
alternative,a2,noun
always,a1,adverb
amazed,b1,adjective
amazing,a1,adjective
ambition,b1,noun
ambitious,b1,adjective
amount,a2,noun
amount,b2,verb
analyse,b1,verb
analysis,b1,noun
ancient,a2,adjective
anger,b2,noun
angle,b2,noun
angry,a1,adjective
animal,a1,noun
ankle,a2,noun
anniversary,b2,noun
announce,b1,verb
announcement,b1,noun
annoy,b1,verb
annoyed,b1,adjective
annoying,b1,adjective
annual,b2,adjective
answer,a1,noun
answer,a1,verb
anxious,b2,adjective
any,a2,adverb
any more,a2,adverb
anyway,a2,adverb
anywhere,a2,adverb
apart,b1,adverb
apartment,a1,noun
apologize,b1,verb
app,a2,noun
apparent,b2,adjective
apparently,b2,adverb
appeal,b2,noun
appeal,b2,verb
appear,a2,verb
appearance,a2,noun
apple,a1,noun
application,b1,noun
apply,a2,verb
appointment,b1,noun
appreciate,b1,verb
approach,b2,noun
approach,b2,verb
appropriate,b2,adjective
approval,b2,noun
approve,b2,verb
approximately,b1,adverb
april,a1,noun
architect,a2,noun
architecture,a2,noun
area,a1,noun
argue,a2,verb
argument,a2,noun
arise,b2,verb
arm,a1,noun
armed,b2,adjective
arms,b2,noun
army,a2,noun
around,a1,adverb
arrange,a2,verb
arrangement,a2,noun
arrest,b1,noun
arrest,b1,verb
arrival,b1,noun
arrive,a1,verb
art,a1,noun
article,a1,noun
artificial,b2,adjective
artist,a1,noun
artistic,b2,adjective
as,a2,adverb
ashamed,b2,adjective
ask,a1,verb
asleep,a2,adjective
aspect,b2,noun
assess,b2,verb
assessment,b2,noun
assignment,b1,noun
assist,b1,verb
assistant,a2,adjective
assistant,a2,noun
associate,b2,verb
associated,b2,adjective
association,b2,noun
assume,b2,verb
athlete,a2,noun
atmosphere,b1,noun
attach,b1,verb
attack,a2,noun
attack,a2,verb
attempt,b2,noun
attempt,b2,verb
attend,a2,verb
attention,a2,noun
attitude,b1,noun
attract,b1,verb
attraction,b1,noun
attractive,a2,adjective
audience,a2,noun
august,a1,noun
aunt,a1,noun
author,a2,noun
authority,b1,noun
autumn,a1,noun
available,a2,adjective
average,a2,adjective
average,a2,noun
average,b1,verb
avoid,a2,verb
award,a2,noun
award,b1,verb
aware,b1,adjective
away,a1,adverb
awful,a2,adjective
baby,a1,noun
back,a2,adjective
back,a1,adverb
back,a1,noun
back,b2,verb
background,a2,noun
backwards,b1,adverb
bacteria,b2,noun
bad,a1,adjective
badly,a2,adverb
bag,a1,noun
bake,b1,verb
balance,b1,noun
balance,b1,verb
ball,a1,noun
ban,b1,noun
ban,b1,verb
banana,a1,noun
band,a1,noun
bank,a1,noun
bar,a2,noun
bar,b2,verb
barrier,b2,noun
base,b1,noun
base,b1,verb
baseball,a2,noun
based,a2,adjective
basic,b1,adjective
basically,b2,adverb
basis,b1,noun
basketball,a2,noun
bath,a1,noun
bathroom,a1,noun
battery,b1,noun
battle,b1,noun
battle,b2,verb
be,a1,verb
beach,a1,noun
bean,a2,noun
bear,a2,noun
bear,b2,verb
beat,b2,noun
beat,a2,verb
beautiful,a1,adjective
beauty,b1,noun
become,a1,verb
bed,a1,noun
bedroom,a1,noun
bee,b1,noun
beef,a2,noun
beer,a1,noun
before,a2,adverb
beg,b2,verb
begin,a1,verb
beginning,a1,noun
behave,a2,verb
behaviour,a2,noun
behind,a1,adverb
being,b2,noun
belief,b1,noun
believe,a1,verb
bell,b1,noun
belong,a2,verb
below,a1,adverb
belt,a2,noun
bend,b1,noun
bend,b1,verb
benefit,a2,noun
benefit,b1,verb
bent,b2,adjective
best,a1,adjective
best,a2,adverb
best,a2,noun
bet,b2,noun
bet,b2,verb
better,a1,adjective
better,a2,adverb
better,b1,noun
between,a2,adverb
beyond,b2,adverb
bicycle,a1,noun
big,a1,adjective
bike,a1,noun
bill,a1,noun
bill,b2,verb
bin,a2,noun
biology,a2,noun
bird,a1,noun
birth,a2,noun
birthday,a1,noun
biscuit,a2,noun
bit,a2,noun
bite,b1,noun
bite,b1,verb
bitter,b2,adjective
black,a1,adjective
black,a1,noun
blame,b2,noun
blame,b2,verb
blank,a2,adjective
blank,a2,noun
blind,b2,adjective
block,b1,noun
block,b1,verb
blog,a1,noun
blonde,a1,adjective
blood,a2,noun
blow,a2,verb
blue,a1,adjective
blue,a1,noun
board,a2,noun
board,b1,verb
boat,a1,noun
body,a1,noun
boil,a2,verb
bomb,b1,noun
bomb,b1,verb
bond,b2,noun
bone,a2,noun
book,a1,noun
book,a2,verb
boot,a1,noun
border,b1,noun
border,b2,verb
bored,a1,adjective
boring,a1,adjective
born,a1,verb
borrow,a2,verb
boss,a2,noun
bother,b1,verb
bottle,a1,noun
bottom,a2,adjective
bottom,a2,noun
bowl,a2,noun
box,a1,noun
boy,a1,noun
boyfriend,a1,noun
brain,a2,noun
branch,b1,noun
brand,b1,noun
brand,b1,verb
brave,b1,adjective
bread,a1,noun
break,a1,noun
break,a1,verb
breakfast,a1,noun
breast,b2,noun
breath,b1,noun
breathe,b1,verb
breathing,b1,noun
bride,b1,noun
bridge,a2,noun
brief,b2,adjective
bright,a2,adjective
brilliant,a2,adjective
bring,a1,verb
broad,b2,adjective
broadcast,b2,noun
broadcast,b2,verb
broken,a2,adjective
brother,a1,noun
brown,a1,adjective
brown,a1,noun
brush,a2,noun
brush,a2,verb
bubble,b1,noun
budget,b2,noun
build,a1,verb
building,a1,noun
bullet,b2,noun
bunch,b2,noun
burn,b2,noun
burn,a2,verb
bury,b1,verb
bus,a1,noun
bush,b2,noun
business,a1,noun
businessman,a2,noun
busy,a1,adjective
butter,a1,noun
button,a2,noun
buy,a1,verb
by,b1,adverb
cable,b2,noun
cafe,a1,noun
cake,a1,noun
calculate,b2,verb
call,a1,noun
call,a1,verb
calm,b1,adjective
calm,b1,noun
calm,b1,verb
camera,a1,noun
camp,a2,noun
camp,a2,verb
campaign,b1,noun
campaign,b1,verb
camping,a2,noun
campus,b1,noun
can,a2,noun
cancel,b2,verb
cancer,b2,noun
candidate,b1,noun
cap,b1,noun
capable,b2,adjective
capacity,b2,noun
capital,a1,adjective
capital,a1,noun
captain,b1,noun
capture,b2,noun
capture,b2,verb
car,a1,noun
card,a1,noun
care,a2,noun
care,a2,verb
career,a1,noun
careful,a2,adjective
carefully,a2,adverb
careless,b1,adjective
carpet,a2,noun
carrot,a1,noun
carry,a1,verb
cartoon,a2,noun
case,a2,noun
cash,a2,noun
cast,b2,noun
cast,b2,verb
castle,a2,noun
cat,a1,noun
catch,b2,noun
catch,a2,verb
category,b1,noun
cause,a2,noun
cause,a2,verb
cd,a1,noun
ceiling,b1,noun
celebrate,a2,verb
celebration,b1,noun
celebrity,a2,noun
cell,b2,noun
cent,a1,noun
central,b1,adjective
centre,a1,noun
centre,b1,verb
century,a1,noun
ceremony,b1,noun
certain,a2,adjective
certainly,a2,adverb
chain,b1,noun
chain,b2,verb
chair,a1,noun
chair,b2,verb
chairman,b2,noun
challenge,b1,noun
challenge,b2,verb
champion,b1,noun
chance,a2,noun
change,a1,noun
change,a1,verb
channel,b1,noun
chapter,b1,noun
character,a2,noun
characteristic,b2,adjective
characteristic,b2,noun
charge,b1,noun
charge,b1,verb
charity,a2,noun
chart,a1,noun
chart,b2,verb
chat,a2,noun
chat,a2,verb
cheap,a1,adjective
cheap,b1,adverb
cheat,b1,noun
cheat,b1,verb
check,a2,noun
check,a1,verb
cheerful,b1,adjective
cheese,a1,noun
chef,a2,noun
chemical,b1,adjective
chemical,b1,noun
chemistry,a2,noun
chest,b1,noun
chicken,a1,noun
chief,b2,adjective
chief,b2,noun
child,a1,noun
childhood,b1,noun
chip,a2,noun
chocolate,a1,noun
choice,a2,noun
choose,a1,verb
church,a2,noun
cigarette,a2,noun
cinema,a1,noun
circle,a2,noun
circle,a2,verb
circumstance,b2,noun
cite,b2,verb
citizen,b2,noun
city,a1,noun
civil,b2,adjective
claim,b1,noun
claim,b1,verb
class,a1,noun
classic,b2,adjective
classic,b2,noun
classical,a2,adjective
classroom,a1,noun
clause,b1,noun
clean,a1,adjective
clean,a1,verb
clear,a2,adjective
clear,b1,verb
clearly,a2,adverb
clever,a2,adjective
click,b1,noun
click,b1,verb
client,b1,noun
climate,a2,noun
climb,b1,noun
climb,a1,verb
clock,a1,noun
close,a2,adjective
close,b1,adverb
close,b2,noun
close,a1,verb
closed,a2,adjective
closely,b2,adverb
cloth,b1,noun
clothes,a1,noun
clothing,a2,noun
cloud,a2,noun
club,a1,noun
clue,b1,noun
coach,a2,noun
coach,b1,verb
coal,b1,noun
coast,a2,noun
coat,a1,noun
code,a2,noun
coffee,a1,noun
coin,b1,noun
cold,a1,adjective
cold,a1,noun
collapse,b2,noun
collapse,b2,verb
colleague,a2,noun
collect,a2,verb
collection,b1,noun
college,a1,noun
colour,a1,noun
coloured,b1,adjective
column,a2,noun
combination,b2,noun
combine,b1,verb
come,a1,verb
comedy,a2,noun
comfort,b2,noun
comfort,b2,verb
comfortable,a2,adjective
command,b2,noun
command,b2,verb
comment,a2,noun
comment,b1,verb
commercial,b1,adjective
commercial,b1,noun
commission,b2,noun
commission,b2,verb
commit,b1,verb
commitment,b2,noun
committee,b2,noun
common,a1,adjective
commonly,b2,adverb
communicate,a2,verb
communication,b1,noun
community,a2,noun
company,a1,noun
compare,a1,verb
comparison,b1,noun
compete,a2,verb
competition,a2,noun
competitive,b1,adjective
competitor,b1,noun
complain,a2,verb
complaint,b1,noun
complete,a1,adjective
complete,a1,verb
completely,a2,adverb
complex,b1,adjective
complex,b2,noun
complicated,b2,adjective
component,b2,noun
computer,a1,noun
concentrate,b1,verb
concentration,b2,noun
concept,b2,noun
concern,b2,noun
concern,b2,verb
concerned,b2,adjective
concert,a1,noun
conclude,b1,verb
conclusion,b1,noun
condition,a2,noun
conduct,b2,noun
conduct,b2,verb
conference,a2,noun
confidence,b2,noun
confident,b1,adjective
confirm,b1,verb
conflict,b2,noun
conflict,b2,verb
confuse,b1,verb
confused,b1,adjective
confusing,b2,adjective
connect,a2,verb
connected,a2,adjective
connection,b1,noun
conscious,b2,adjective
consequence,b1,noun
conservative,b2,adjective
conservative,b2,noun
consider,a2,verb
consideration,b2,noun
consist,b1,verb
consistent,b2,adjective
constant,b2,adjective
constantly,b2,adverb
construct,b2,verb
construction,b2,noun
consume,b1,verb
consumer,b1,noun
contact,b1,noun
contact,b1,verb
contain,a2,verb
container,b1,noun
contemporary,b2,adjective
content,b1,noun
contest,b2,noun
contest,b2,verb
context,a2,noun
continent,a2,noun
continue,a2,verb
continuous,b1,adjective
contract,b2,noun
contract,b2,verb
contrast,b1,noun
contrast,b1,verb
contribute,b2,verb
contribution,b2,noun
control,a2,noun
control,a2,verb
convenient,b1,adjective
conversation,a1,noun
convert,b2,verb
convince,b1,verb
convinced,b2,adjective
cook,a2,noun
cook,a1,verb
cooker,a2,noun
cooking,a1,noun
cool,a1,adjective
cool,b1,verb
copy,a2,noun
copy,a2,verb
core,b2,adjective
core,b2,noun
corner,a2,noun
corporate,b2,adjective
correct,a1,adjective
correct,a1,verb
correctly,a2,adverb
cost,a1,noun
cost,a1,verb
costume,b1,noun
cottage,b1,noun
cotton,b1,noun
council,b2,noun
count,b1,noun
count,a2,verb
country,a1,noun
countryside,b1,noun
county,b2,noun
couple,a2,noun
courage,b2,noun
course,a1,noun
court,b1,noun
cousin,a1,noun
cover,b1,noun
cover,a2,verb
covered,b1,adjective
cow,a1,noun
crash,b2,noun
crash,b2,verb
crazy,a2,adjective
cream,b1,adjective
cream,a1,noun
create,a1,verb
creation,b2,noun
creative,a2,adjective
creature,b2,noun
credit,a2,noun
credit,b2,verb
crew,b2,noun
crime,a2,noun
criminal,b1,adjective
criminal,a2,noun
crisis,b2,noun
criterion,b2,noun
critic,b2,noun
critical,b2,adjective
criticism,b2,noun
criticize,b2,verb
crop,b2,noun
cross,a2,noun
cross,a2,verb
crowd,a2,noun
crowded,a2,adjective
crucial,b2,adjective
cruel,b1,adjective
cry,b2,noun
cry,a2,verb
cultural,b1,adjective
culture,a1,noun
cup,a1,noun
cupboard,a2,noun
cure,b2,noun
cure,b2,verb
curly,a2,adjective
currency,b1,noun
current,b1,adjective
current,b2,noun
currently,b1,adverb
curtain,b1,noun
curve,b2,noun
curve,b2,verb
curved,b2,adjective
custom,b1,noun
customer,a1,noun
cut,b1,noun
cut,a1,verb
cycle,a2,noun
cycle,a2,verb
dad,a1,noun
daily,a2,adjective
daily,b1,adverb
damage,b1,noun
damage,b1,verb
dance,a1,noun
dance,a1,verb
dancer,a1,noun
dancing,a1,noun
danger,a2,noun
dangerous,a1,adjective
dark,a1,adjective
dark,a2,noun
data,a2,noun
date,a1,noun
date,b2,verb
daughter,a1,noun
day,a1,noun
dead,a2,adjective
deal,b1,noun
deal,a2,verb
dear,a1,adjective
death,a2,noun
debate,b2,noun
debate,b2,verb
debt,b2,noun
decade,b1,noun
december,a1,noun
decent,b2,adjective
decide,a1,verb
decision,a2,noun
declare,b2,verb
decline,b2,noun
decline,b2,verb
decorate,b1,verb
decoration,b2,noun
decrease,b2,noun
decrease,b2,verb
deep,a2,adjective
deep,b1,adverb
deeply,b2,adverb
defeat,b2,noun
defeat,b2,verb
defence,b2,noun
defend,b2,verb
define,b1,verb
definite,b1,adjective
definitely,a2,adverb
definition,b1,noun
degree,a2,noun
delay,b2,noun
delay,b2,verb
deliberate,b2,adjective
deliberately,b2,adverb
delicious,a1,adjective
delight,b2,noun
delight,b2,verb
delighted,b2,adjective
deliver,b1,verb
delivery,b2,noun
demand,b2,noun
demand,b2,verb
demonstrate,b2,verb
dentist,a2,noun
deny,b2,verb
department,a2,noun
departure,b1,noun
depend,a2,verb
depressed,b2,adjective
depressing,b2,adjective
depth,b2,noun
describe,a1,verb
description,a1,noun
desert,a2,noun
desert,b2,verb
deserve,b2,verb
design,a1,noun
design,a1,verb
designer,a2,noun
desire,b2,noun
desire,b2,verb
desk,a1,noun
desperate,b2,adjective
destination,b1,noun
destroy,a2,verb
detail,a1,noun
detail,b2,verb
detailed,b2,adjective
detect,b2,verb
detective,a2,noun
determine,b1,verb
determined,b1,adjective
develop,a2,verb
development,b1,noun
device,a2,noun
diagram,b1,noun
dialogue,a1,noun
diamond,b1,noun
diary,a2,noun
dictionary,a1,noun
die,a1,verb
diet,a1,noun
difference,a1,noun
different,a1,adjective
differently,a2,adverb
difficult,a1,adjective
difficulty,b1,noun
dig,b2,verb
digital,a2,adjective
dinner,a1,noun
direct,a2,adjective
direct,b1,adverb
direct,b1,verb
direction,a2,noun
directly,b1,adverb
director,a2,noun
dirt,b1,noun
dirty,a1,adjective
disadvantage,b1,noun
disagree,a2,verb
disappear,a2,verb
disappointed,b1,adjective
disappointing,b1,adjective
disaster,a2,noun
disc,b2,noun
discipline,b2,noun
discount,b1,noun
discount,b2,verb
discover,a2,verb
discovery,a2,noun
discuss,a1,verb
discussion,a2,noun
disease,a2,noun
dish,a1,noun
dishonest,b2,adjective
disk,b2,noun
dislike,b1,noun
dislike,b1,verb
dismiss,b2,verb
display,b2,noun
display,b2,verb
distance,a2,noun
distribute,b2,verb
distribution,b2,noun
district,b2,noun
divide,b2,noun
divide,b1,verb
division,b2,noun
divorced,a2,adjective
do,a1,verb
doctor,a1,noun
document,a2,noun
document,b2,verb
documentary,b1,noun
dog,a1,noun
dollar,a1,noun
domestic,b2,adjective
dominate,b2,verb
donate,b1,verb
door,a1,noun
double,a2,adjective
double,b1,adverb
double,a2,verb
doubt,b1,noun
doubt,b1,verb
down,a1,adverb
download,a2,noun
download,a2,verb
downstairs,a2,adjective
downstairs,a1,adverb
downwards,b2,adverb
dozen,b2,noun
draft,b2,noun
draft,b2,verb
drag,b2,verb
drama,a2,noun
dramatic,b2,adjective
draw,a1,verb
drawing,a2,noun
dream,a2,noun
dream,a2,verb
dress,a1,noun
dress,a1,verb
dressed,b1,adjective
drink,a1,noun
drink,a1,verb
drive,a2,noun
drive,a1,verb
driver,a1,noun
driving,a2,noun
drop,b1,noun
drop,a2,verb
drug,a2,noun
drum,b1,noun
drunk,b1,adjective
dry,a2,adjective
dry,a2,verb
due,b1,adjective
dust,b1,noun
duty,b1,noun
dvd,a1,noun
each,a1,adverb
ear,a1,noun
early,a1,adjective
early,a1,adverb
earn,a2,verb
earth,a2,noun
earthquake,b1,noun
easily,a2,adverb
east,a1,adjective
east,a1,adverb
east,a1,noun
eastern,b1,adjective
easy,a1,adjective
eat,a1,verb
economic,b1,adjective
economy,b1,noun
edge,b1,noun
edit,b2,verb
edition,b2,noun
editor,b1,noun
educate,b1,verb
educated,b1,adjective
education,a2,noun
educational,b1,adjective
effect,a2,noun
effective,b1,adjective
effectively,b1,adverb
efficient,b2,adjective
effort,b1,noun
egg,a1,noun
either,a2,adverb
elderly,b2,adjective
elect,b2,verb
election,b1,noun
electric,a2,adjective
electrical,a2,adjective
electricity,a2,noun
electronic,a2,adjective
element,b1,noun
elephant,a1,noun
else,a1,adverb
elsewhere,b2,adverb
email,a1,noun
email,a1,verb
embarrassed,b1,adjective
embarrassing,b1,adjective
emerge,b2,verb
emergency,b1,noun
emotion,b1,noun
emotional,b2,adjective
emphasis,b2,noun
emphasize,b2,verb
employ,a2,verb
employee,a2,noun
employer,a2,noun
employment,b1,noun
empty,a2,adjective
empty,b1,verb
enable,b2,verb
encounter,b2,noun
encounter,b2,verb
encourage,b1,verb
end,a1,noun
end,a1,verb
ending,a2,noun
enemy,b1,noun
energy,a2,noun
engage,b2,verb
engaged,b1,adjective
engine,a2,noun
engineer,a2,noun
engineering,b1,noun
enhance,b2,verb
enjoy,a1,verb
enormous,a2,adjective
enough,a1,adverb
enquiry,b2,noun
ensure,b2,verb
enter,a2,verb
entertain,b1,verb
entertainment,b1,noun
enthusiasm,b2,noun
enthusiastic,b2,adjective
entire,b2,adjective
entirely,b2,adverb
entrance,b1,noun
entry,b1,noun
environment,a2,noun
environmental,b1,adjective
episode,b1,noun
equal,b1,adjective
equal,b2,noun
equal,b1,verb
equally,b1,adverb
equipment,a2,noun
error,a2,noun
escape,b1,noun
escape,b1,verb
especially,a2,adverb
essay,a2,noun
essential,b1,adjective
establish,b2,verb
estate,b2,noun
estimate,b2,noun
estimate,b2,verb
ethical,b2,adjective
euro,a1,noun
evaluate,b2,verb
even,b2,adjective
even,a1,adverb
evening,a1,noun
event,a1,noun
eventually,b1,adverb
ever,a1,adverb
everyday,a2,adjective
everywhere,a2,adverb
evidence,a2,noun
evil,b2,adjective
evil,b2,noun
exact,a2,adjective
exactly,a2,adverb
exam,a1,noun
examination,b2,noun
examine,b1,verb
example,a1,noun
excellent,a2,adjective
exchange,b1,noun
exchange,b1,verb
excited,a1,adjective
excitement,b1,noun
exciting,a1,adjective
excuse,b2,noun
excuse,b2,verb
executive,b2,adjective
executive,b2,noun
exercise,a1,noun
exercise,a1,verb
exhibition,b1,noun
exist,a2,verb
existence,b2,noun
expand,b1,verb
expect,a2,verb
expectation,b2,noun
expected,b1,adjective
expedition,b1,noun
expense,b2,noun
expensive,a1,adjective
experience,a2,noun
experience,b1,verb
experienced,b1,adjective
experiment,a2,noun
experiment,b1,verb
expert,a2,adjective
expert,a2,noun
explain,a1,verb
explanation,a2,noun
explode,b1,verb
exploration,b2,noun
explore,b1,verb
explosion,b1,noun
export,b1,noun
export,b1,verb
expose,b2,verb
express,a2,verb
expression,a2,noun
extend,b2,verb
extent,b2,noun
external,b2,adjective
extra,a1,adjective
extra,b1,adverb
extra,b1,noun
extraordinary,b2,adjective
extreme,a2,adjective
extreme,b2,noun
extremely,a2,adverb
eye,a1,noun
face,a1,noun
face,b1,verb
facility,b2,noun
fact,a1,noun
factor,a2,noun
factory,a2,noun
fail,a2,verb
